timestamp,open,close,high,low,volume,support,resis
2021-01-01 03:00:00,9.262,9.428,8.0729,8.2776,40444969.81,,
2021-01-02 03:00:00,8.2775,9.89,7.89,9.2037,41542040.61,9.428,9.428
2021-01-03 03:00:00,9.2056,10.5,8.8448,10.1307,37224723.44,9.428,9.89
2021-01-04 03:00:00,10.1453,10.5169,8.7,9.5126,35233997.11,9.428,10.5
2021-01-05 03:00:00,9.5147,10.0441,9.01,9.7084,20433614.97,9.428,10.5169
2021-01-06 03:00:00,9.7126,10.4452,9.4611,10.0679,24556008.75,9.428,10.5169
2021-01-07 03:00:00,10.0679,10.68,9.38,9.6439,23807905.1,9.428,10.5169
2021-01-08 03:00:00,9.6432,9.814,8.7788,9.2998,18487740.39,9.428,10.68
2021-01-09 03:00:00,9.2959,9.815,9.0418,9.7354,11628693.46,9.428,10.68
2021-01-10 03:00:00,9.7354,9.9889,8.6054,9.2911,13493639.61,9.428,10.68
2021-01-11 03:00:00,9.2962,9.32,7.1642,8.2691,39097080.01,9.428,10.68
2021-01-12 03:00:00,8.2736,8.7243,7.9201,8.3078,17770135.49,9.32,10.68
2021-01-13 03:00:00,8.3072,11.4407,7.9833,10.9486,33973317.45,8.7243,10.68
2021-01-14 03:00:00,10.9417,14.68,10.8801,14.4867,50546604.14,8.7243,11.4407
2021-01-15 03:00:00,14.4862,14.9599,11.7619,13.1679,56797246.56,8.7243,14.68
2021-01-16 03:00:00,13.1638,19.4,13.1567,17.9893,80460090.2,8.7243,14.9599
2021-01-17 03:00:00,17.9849,18.2677,16.28,17.0832,50659218.35,8.7243,19.4
2021-01-18 03:00:00,17.0897,18.221,15.7,16.5898,26097571.18,8.7243,19.4
2021-01-19 03:00:00,16.5786,17.49,15.887,16.3933,23747474.38,8.7243,19.4
2021-01-20 03:00:00,16.3951,18.2078,14.79,17.9808,33656669.48,8.7243,19.4
2021-01-21 03:00:00,17.9798,18.15,14.982,15.9818,38983790.86,8.7243,19.4
2021-01-22 03:00:00,15.9837,18.0178,14.7111,17.1207,31458042.07,8.7243,19.4
2021-01-23 03:00:00,17.1243,18.8,16.7951,18.7446,24293114.74,8.7243,19.4
2021-01-24 03:00:00,18.7447,18.7646,17.22,17.9745,15685459.56,8.7243,19.4
2021-01-25 03:00:00,17.9757,19.1,17.069,17.207,19765645.59,8.7243,19.4
2021-01-26 03:00:00,17.2075,17.7844,16.0,17.1013,14031585.41,8.7243,19.4
2021-01-27 03:00:00,17.1115,17.127,15.0316,15.43,18777450.02,8.7243,19.4
2021-01-28 03:00:00,15.435,17.4938,15.2583,16.8643,18773126.13,8.7243,19.4
2021-01-29 03:00:00,16.8716,17.7522,15.9389,16.7968,24085491.74,8.7243,19.4
2021-01-30 03:00:00,16.7995,17.0808,16.1327,16.5349,10071916.92,8.7243,19.4
2021-01-31 03:00:00,16.5423,17.5332,15.6438,16.1128,13322271.39,8.7243,19.4
2021-02-01 03:00:00,16.1153,16.5615,15.5807,16.4385,10427226.81,8.7243,19.4
2021-02-02 03:00:00,16.4401,17.67,15.9813,17.1765,17507006.87,11.4407,19.4
2021-02-03 03:00:00,17.1766,20.9322,16.8,20.8538,28799999.03,14.68,19.4
2021-02-04 03:00:00,20.8588,21.7321,18.57,19.6677,25501882.41,14.9599,20.9322
2021-02-05 03:00:00,19.6682,21.4,19.3472,20.84,17350792.08,16.5615,21.7321
2021-02-06 03:00:00,20.8259,21.399,19.8425,20.3734,11925117.12,16.5615,21.7321
2021-02-07 03:00:00,20.369,20.8031,18.46,19.7345,15159822.49,16.5615,21.7321
2021-02-08 03:00:00,19.7365,23.6969,19.1828,22.9853,25522324.88,16.5615,21.7321
2021-02-09 03:00:00,22.984,24.12,22.2269,23.0846,16067713.73,16.5615,23.6969
2021-02-10 03:00:00,23.089,24.8498,21.8916,23.5821,16612771.89,16.5615,24.12
2021-02-11 03:00:00,23.5784,25.7071,23.2357,25.0224,13943337.77,16.5615,24.8498
2021-02-12 03:00:00,25.0036,29.7272,24.5,28.6555,15767764.9,16.5615,25.7071
2021-02-13 03:00:00,28.6523,30.21,27.2203,27.9364,15559714.6,16.5615,29.7272
2021-02-14 03:00:00,27.9602,29.4142,26.4,26.8724,10698732.39,16.5615,30.21
2021-02-15 03:00:00,26.88,29.5365,23.1555,27.8021,20272317.43,16.5615,30.21
2021-02-16 03:00:00,27.8201,31.0606,26.8002,30.0832,20070860.93,16.5615,30.21
2021-02-17 03:00:00,30.0897,32.4,29.6109,31.9862,14917487.45,16.5615,31.0606
2021-02-18 03:00:00,31.9849,32.5926,30.5453,31.11,7915382.55,16.5615,32.4
2021-02-19 03:00:00,31.11,35.0,29.5,34.824,16536466.18,16.5615,32.5926
2021-02-20 03:00:00,34.8093,42.2848,34.7,38.942,29189715.44,16.5615,35.0
2021-02-21 03:00:00,38.9381,40.6992,38.0,39.5863,15160345.53,16.5615,42.2848
2021-02-22 03:00:00,39.5867,39.7434,30.8104,37.6143,27519472.04,17.67,42.2848
2021-02-23 03:00:00,37.6369,37.8,26.5,34.5325,40437206.88,20.8031,42.2848
2021-02-24 03:00:00,34.5697,36.8,31.1,33.6396,20265938.21,20.8031,42.2848
2021-02-25 03:00:00,33.6315,35.26,30.8582,31.2341,13365957.05,20.8031,42.2848
2021-02-26 03:00:00,31.2282,33.5516,28.0001,31.4362,25275240.2,20.8031,42.2848
2021-02-27 03:00:00,31.4506,35.6618,31.3471,33.4575,20330311.63,20.8031,42.2848
2021-02-28 03:00:00,33.4664,34.56,29.7,33.8,19977135.54,23.6969,42.2848
2021-03-01 03:00:00,33.7964,35.66,33.0149,35.6273,13666144.31,24.12,42.2848
2021-03-02 03:00:00,35.6278,37.9247,34.3777,36.1393,15276420.14,24.8498,42.2848
2021-03-03 03:00:00,36.1485,38.68,36.1031,37.0985,11641704.64,25.7071,42.2848
2021-03-04 03:00:00,37.0661,38.38,34.35,35.2166,11601602.41,29.4142,42.2848
2021-03-05 03:00:00,35.2251,35.2687,31.31,33.6194,15293689.83,29.4142,42.2848
2021-03-06 03:00:00,33.5926,34.1997,32.05,33.3596,6037223.17,29.4142,42.2848
2021-03-07 03:00:00,33.3628,35.2999,33.3628,35.095,6061093.36,29.5365,42.2848
2021-03-08 03:00:00,35.0898,35.5566,33.4053,34.9737,6813802.79,31.0606,42.2848
2021-03-09 03:00:00,34.9867,38.8788,34.5148,38.1882,12891833.92,32.4,42.2848
2021-03-10 03:00:00,38.1845,39.6,36.2181,37.5494,12012623.7,32.5926,42.2848
2021-03-11 03:00:00,37.5534,38.0434,35.8675,36.9026,8664283.5,33.5516,42.2848
2021-03-12 03:00:00,36.8988,37.4995,34.3773,35.9551,6812852.03,33.5516,42.2848
2021-03-13 03:00:00,35.9582,38.2742,34.6873,37.1418,7399275.26,33.5516,40.6992
2021-03-14 03:00:00,37.1308,37.9979,36.2477,36.4427,4741817.09,33.5516,39.7434
2021-03-15 03:00:00,36.4427,38.5636,33.8351,34.2963,10731480.2,33.5516,39.6
2021-03-16 03:00:00,34.2868,35.5422,32.07,35.3987,9126077.86,33.5516,39.6
2021-03-17 03:00:00,35.3981,36.4495,34.3879,36.1036,6842523.37,33.5516,39.6
2021-03-18 03:00:00,36.1157,37.0187,34.9648,35.3399,5558730.76,33.5516,39.6
2021-03-19 03:00:00,35.3399,38.8636,34.6,38.1735,9561406.59,34.1997,39.6
2021-03-20 03:00:00,38.1735,40.1,37.1559,37.2279,8583160.2,34.1997,39.6
2021-03-21 03:00:00,37.2293,38.0995,36.1001,36.6851,6631041.19,34.1997,40.1
2021-03-22 03:00:00,36.6802,37.7803,35.0572,35.2338,6137342.07,34.1997,40.1
2021-03-23 03:00:00,35.2202,36.2896,34.0325,34.2174,5897723.07,34.1997,40.1
2021-03-24 03:00:00,34.1961,36.1468,27.4586,30.2209,13285955.46,34.1997,40.1
2021-03-25 03:00:00,30.2139,31.2676,28.3,29.8059,17474869.14,34.1997,40.1
2021-03-26 03:00:00,29.8059,33.3689,29.7894,33.1782,7973987.37,31.2676,40.1
2021-03-27 03:00:00,33.1607,33.5,31.1119,32.5884,6080754.51,31.2676,40.1
2021-03-28 03:00:00,32.5873,33.2231,31.2276,32.2331,4896790.56,31.2676,40.1
2021-03-29 03:00:00,32.2331,34.714,31.7496,34.3403,6754322.38,31.2676,40.1
2021-03-30 03:00:00,34.3404,34.8,33.4855,33.9778,5489182.37,31.2676,40.1
2021-03-31 03:00:00,33.9778,38.28,33.22,37.0765,14303159.29,31.2676,40.1
2021-04-01 03:00:00,37.0784,38.945,36.0021,37.461,9608182.24,31.2676,40.1
2021-04-02 03:00:00,37.4655,41.4081,36.5721,41.0271,10204662.65,31.2676,40.1
2021-04-03 03:00:00,41.0344,46.8,40.9103,41.3802,18075397.33,31.2676,41.4081
2021-04-04 03:00:00,41.38,45.0858,40.6666,44.3135,8717890.34,31.2676,46.8
2021-04-05 03:00:00,44.3204,45.8694,41.806,45.8003,7991387.42,31.2676,46.8
2021-04-06 03:00:00,45.8,46.2616,41.56,43.35,9415415.87,31.2676,46.8
2021-04-07 03:00:00,43.3547,43.5038,37.69,39.5013,11787515.43,31.2676,46.8
2021-04-08 03:00:00,39.51,41.5999,39.2121,41.334,5879782.79,31.2676,46.8
2021-04-09 03:00:00,41.3248,42.0984,40.0501,40.8085,4356116.29,31.2676,46.8
2021-04-10 03:00:00,40.8085,42.757,39.9777,41.5868,5302312.77,31.2676,46.8
2021-04-11 03:00:00,41.6,41.87,39.9818,41.3196,5023884.47,31.2676,46.8
2021-04-12 03:00:00,41.3133,41.7699,39.3643,40.46,6509499.53,31.2676,46.8
2021-04-13 03:00:00,40.4601,43.3554,39.809,42.9301,9390973.4,31.2676,46.8
2021-04-14 03:00:00,42.9301,44.5594,40.0,42.5171,10710847.58,31.2676,46.8
2021-04-15 03:00:00,42.5217,44.3,41.4046,43.4318,8291327.15,33.2231,46.8
2021-04-16 03:00:00,43.4169,43.8252,40.0007,41.3898,9269576.83,33.2231,46.8
2021-04-17 03:00:00,41.3931,48.36,41.37,42.0577,17205151.16,33.2231,46.8
2021-04-18 03:00:00,42.0568,42.7051,32.0,37.363,25846971.85,34.714,48.36
2021-04-19 03:00:00,37.3623,38.7007,34.0,34.7373,11880828.89,34.8,48.36
2021-04-20 03:00:00,34.7371,35.7508,31.5542,35.4133,14345901.28,38.28,48.36
2021-04-21 03:00:00,35.4112,36.3172,33.0261,33.7953,11604140.78,35.7508,48.36
2021-04-22 03:00:00,33.7714,36.7635,32.8,32.9571,17785821.28,35.7508,48.36
2021-04-23 03:00:00,32.947,33.4998,26.6355,32.2323,25328983.32,35.7508,48.36
2021-04-24 03:00:00,32.2402,32.4026,28.53,28.9629,12019207.5,33.4998,48.36
2021-04-25 03:00:00,28.9819,31.3,28.1,29.83,7392943.065,32.4026,48.36
2021-04-26 03:00:00,29.83,33.473,29.755,33.4,12586853.239,31.3,48.36
2021-04-27 03:00:00,33.396,34.94,33.141,34.845,10126562.837,31.3,48.36
2021-04-28 03:00:00,34.845,35.389,32.566,33.972,9168443.638,31.3,48.36
2021-04-29 03:00:00,33.968,36.0,32.966,35.979,8746880.388,31.3,48.36
2021-04-30 03:00:00,35.979,36.811,35.087,36.522,11153636.937,31.3,48.36
2021-05-01 03:00:00,36.511,37.46,35.8,36.908,7426793.568,31.3,48.36
2021-05-02 03:00:00,36.904,37.179,35.485,36.626,6899280.736,31.3,48.36
2021-05-03 03:00:00,36.62,38.3,36.571,37.25,8437636.158,31.3,48.36
2021-05-04 03:00:00,37.249,37.931,34.366,34.777,13221688.847,31.3,48.36
2021-05-05 03:00:00,34.778,40.761,34.522,40.422,15940781.371,31.3,48.36
2021-05-06 03:00:00,40.423,43.9,37.98,41.588,19626530.967,31.3,48.36
2021-05-07 03:00:00,41.564,42.8,38.34,39.864,13673656.089,31.3,48.36
2021-05-08 03:00:00,39.869,40.646,38.693,39.899,7174506.876,31.3,43.9
2021-05-09 03:00:00,39.898,40.558,38.2,40.3,9941002.399,31.3,43.9
2021-05-10 03:00:00,40.309,41.85,32.059,36.488,15156271.812,31.3,43.9
2021-05-11 03:00:00,36.488,38.683,35.529,38.637,10529252.621,31.3,43.9
2021-05-12 03:00:00,38.638,42.472,33.74,35.128,19203754.059,31.3,43.9
2021-05-13 03:00:00,35.129,41.869,33.0,39.988,32382529.916,31.3,43.9
2021-05-14 03:00:00,39.982,48.0,39.381,47.979,25755875.959,31.3,43.9
2021-05-15 03:00:00,47.97,49.78,42.723,43.643,29713880.387,31.3,48.0
2021-05-16 03:00:00,43.638,46.722,39.277,42.436,19390116.793,33.473,49.78
2021-05-17 03:00:00,42.426,42.471,35.1,38.693,22756823.567,34.94,49.78
2021-05-18 03:00:00,38.691,42.598,37.653,40.595,18784123.607,35.389,49.78
2021-05-19 03:00:00,40.603,41.403,18.0,25.044,76760027.408,36.0,49.78
2021-05-20 03:00:00,25.044,31.288,21.2,28.958,46079545.709,36.811,49.78
2021-05-21 03:00:00,28.944,30.999,20.0,24.399,49259719.832,31.288,49.78
2021-05-22 03:00:00,24.386,24.6,20.314,22.057,32371263.631,30.999,49.78
2021-05-23 03:00:00,22.05,23.465,13.638,17.912,65071228.803,24.6,49.78
2021-05-24 03:00:00,17.913,23.482,17.098,23.261,43581078.152,23.465,49.78
2021-05-25 03:00:00,23.267,24.217,19.65,22.16,34789720.032,23.465,49.78
2021-05-26 03:00:00,22.149,24.771,21.603,24.528,26085513.265,23.465,49.78
2021-05-27 03:00:00,24.529,24.946,21.747,23.982,22582359.517,23.465,49.78
2021-05-28 03:00:00,23.987,26.22,20.0,21.35,40752090.288,23.465,49.78
2021-05-29 03:00:00,21.349,22.319,18.779,19.868,20620470.347,23.465,49.78
2021-05-30 03:00:00,19.881,21.356,18.416,20.465,17307772.375,22.319,49.78
2021-05-31 03:00:00,20.46,23.45,19.06,23.264,21593146.82,21.356,49.78
2021-06-01 03:00:00,23.273,23.539,21.6,22.84,18793956.11,21.356,49.78
2021-06-02 03:00:00,22.84,26.87,22.649,25.916,24489800.102,21.356,49.78
2021-06-03 03:00:00,25.913,28.6,25.673,27.004,22096623.219,21.356,49.78
2021-06-04 03:00:00,27.005,27.019,23.605,24.988,23200131.881,21.356,49.78
2021-06-05 03:00:00,24.991,26.4,22.933,23.771,15159286.356,21.356,46.722
2021-06-06 03:00:00,23.772,24.501,23.433,24.184,8542620.371,21.356,42.598
2021-06-07 03:00:00,24.189,25.283,21.3,21.686,16728777.96,21.356,42.598
2021-06-08 03:00:00,21.686,22.291,19.6,21.65,22854699.756,21.356,41.403
2021-06-09 03:00:00,21.643,23.335,20.361,23.214,17895882.483,21.356,31.288
2021-06-10 03:00:00,23.216,24.6,22.042,22.683,18698941.752,21.356,30.999
2021-06-11 03:00:00,22.68,23.206,20.487,20.95,12851416.712,21.356,28.6
2021-06-12 03:00:00,20.945,21.262,19.5,20.742,12547282.803,21.356,28.6
2021-06-13 03:00:00,20.742,22.412,19.928,22.04,9398764.597,21.262,28.6
2021-06-14 03:00:00,22.041,26.026,21.233,25.858,23122012.59,21.262,28.6
2021-06-15 03:00:00,25.858,26.009,23.514,23.942,17728382.399,21.262,28.6
2021-06-16 03:00:00,23.942,24.584,22.491,23.033,13836266.103,21.262,28.6
2021-06-17 03:00:00,23.028,24.0,22.0,22.533,10290433.237,21.262,28.6
2021-06-18 03:00:00,22.536,22.566,20.205,21.432,10556068.528,21.262,28.6
2021-06-19 03:00:00,21.432,21.632,20.215,20.222,7447145.388,21.262,28.6
2021-06-20 03:00:00,20.221,21.0,18.871,20.617,11045346.054,21.262,28.6
2021-06-21 03:00:00,20.616,20.794,15.35,15.707,27185128.197,21.0,28.6
2021-06-22 03:00:00,15.711,16.936,13.0,14.688,42443370.028,20.794,28.6
2021-06-23 03:00:00,14.684,16.8,13.963,15.792,24268090.268,16.936,28.6
2021-06-24 03:00:00,15.794,16.609,14.724,16.223,14150471.665,16.8,27.019
2021-06-25 03:00:00,16.224,16.742,14.414,14.422,15832639.428,16.609,26.4
2021-06-26 03:00:00,14.424,14.981,13.616,14.511,13921587.238,16.609,26.026
2021-06-27 03:00:00,14.507,15.027,14.03,15.01,10035136.207,14.981,26.026
2021-06-28 03:00:00,15.008,16.026,14.584,15.794,12407568.948,14.981,26.026
2021-06-29 03:00:00,15.793,17.029,15.714,16.3,15069027.291,14.981,26.026
2021-06-30 03:00:00,16.305,16.628,15.086,16.402,13522533.232,14.981,26.026
2021-07-01 03:00:00,16.4,16.411,14.85,15.174,10239264.118,14.981,26.026
2021-07-02 03:00:00,15.173,15.455,14.622,15.289,7898912.744,14.981,26.026
2021-07-03 03:00:00,15.288,15.752,15.019,15.52,7020623.727,14.981,26.026
2021-07-04 03:00:00,15.523,16.575,15.162,15.975,8386779.841,14.981,26.026
2021-07-05 03:00:00,15.974,15.975,14.5,15.228,10609352.577,14.981,26.009
2021-07-06 03:00:00,15.229,16.191,15.194,16.135,12531769.007,14.981,24.584
2021-07-07 03:00:00,16.127,17.668,16.085,16.861,18479476.985,14.981,24.0
2021-07-08 03:00:00,16.862,16.893,14.99,15.317,13613806.663,14.981,22.566
2021-07-09 03:00:00,15.311,15.918,14.82,15.681,8527447.532,14.981,21.632
2021-07-10 03:00:00,15.681,15.999,15.038,15.276,7361515.051,14.981,21.0
2021-07-11 03:00:00,15.277,15.708,15.138,15.495,5220591.256,14.981,20.794
2021-07-12 03:00:00,15.495,15.65,14.381,14.845,7384762.29,14.981,17.668
2021-07-13 03:00:00,14.845,15.099,14.011,14.19,7000669.871,14.981,17.668
2021-07-14 03:00:00,14.191,14.227,13.164,13.801,11240723.808,14.981,17.668
2021-07-15 03:00:00,13.798,14.108,12.739,13.095,11295460.335,14.227,17.668
2021-07-16 03:00:00,13.095,13.313,12.0,12.026,11747810.942,14.108,17.668
2021-07-17 03:00:00,12.025,12.742,11.71,12.294,12685758.457,13.313,17.668
2021-07-18 03:00:00,12.296,12.934,12.258,12.647,8943548.853,12.742,17.668
2021-07-19 03:00:00,12.648,12.735,11.354,11.46,13496594.169,12.742,17.668
2021-07-20 03:00:00,11.463,11.558,10.373,10.958,15411227.688,12.735,17.668
2021-07-21 03:00:00,10.962,12.861,10.673,12.343,20720488.404,11.558,17.668
2021-07-22 03:00:00,12.344,13.37,11.81,13.152,17109976.612,11.558,17.668
2021-07-23 03:00:00,13.154,13.52,12.321,13.401,14319244.955,11.558,17.668
2021-07-24 03:00:00,13.4,14.057,13.123,13.754,13352533.272,11.558,17.668
2021-07-25 03:00:00,13.759,13.827,13.085,13.734,10636601.766,11.558,17.668
2021-07-26 03:00:00,13.732,15.298,13.634,13.925,25704112.204,11.558,17.668
2021-07-27 03:00:00,13.924,14.54,13.349,14.365,16376850.101,11.558,17.668
2021-07-28 03:00:00,14.364,14.762,13.921,14.546,13296413.169,11.558,16.893
2021-07-29 03:00:00,14.542,15.391,14.257,15.254,16761635.313,11.558,15.999
2021-07-30 03:00:00,15.258,15.859,14.404,15.793,12163617.879,11.558,15.999
2021-07-31 03:00:00,15.791,17.018,15.58,16.784,12127994.279,11.558,15.859
2021-08-01 03:00:00,16.779,19.9,16.539,18.418,29839953.331,11.558,17.018
2021-08-02 03:00:00,18.418,18.938,17.555,17.984,17843839.093,11.558,19.9
2021-08-03 03:00:00,17.984,18.546,16.811,17.425,15066105.66,11.558,19.9
2021-08-04 03:00:00,17.426,19.584,17.094,19.15,17035350.579,11.558,19.9
2021-08-05 03:00:00,19.146,19.458,17.861,19.124,17528313.721,11.558,19.9
2021-08-06 03:00:00,19.124,20.8,18.522,20.416,17461334.492,11.558,19.9
2021-08-07 03:00:00,20.417,21.683,20.025,20.963,16386907.83,11.558,20.8
2021-08-08 03:00:00,20.963,21.205,19.192,19.65,11727291.345,11.558,21.683
2021-08-09 03:00:00,19.651,21.267,18.706,20.566,12450237.876,11.558,21.683
2021-08-10 03:00:00,20.566,21.419,20.08,20.616,13345048.98,12.861,21.683
2021-08-11 03:00:00,20.61,22.45,20.54,21.347,17980834.426,13.37,21.683
2021-08-12 03:00:00,21.346,22.314,19.9,20.755,13916627.074,13.52,22.45
2021-08-13 03:00:00,20.759,22.729,20.503,22.723,10079219.543,13.827,22.45
2021-08-14 03:00:00,22.723,23.488,21.771,22.835,12206858.981,13.827,22.729
2021-08-15 03:00:00,22.833,23.33,21.836,23.15,10311557.705,14.54,23.488
2021-08-16 03:00:00,23.15,25.699,22.821,24.432,23210244.18,14.54,23.488
2021-08-17 03:00:00,24.419,27.422,23.01,23.545,29082405.854,14.762,25.699
2021-08-18 03:00:00,23.548,25.183,22.5,23.868,20325842.456,15.391,27.422
2021-08-19 03:00:00,23.868,26.849,23.464,26.582,18955398.089,15.859,27.422
2021-08-20 03:00:00,26.579,28.477,26.066,28.149,18087062.298,17.018,27.422
2021-08-21 03:00:00,28.149,29.351,27.47,27.863,15380800.777,18.546,28.477
2021-08-22 03:00:00,27.861,28.52,26.5,27.685,12726834.131,18.546,29.351
2021-08-23 03:00:00,27.683,28.627,27.312,27.877,12452305.837,18.546,29.351
2021-08-24 03:00:00,27.876,28.172,24.351,25.067,15563782.332,19.458,29.351
2021-08-25 03:00:00,25.07,26.55,24.471,25.982,13580763.063,19.458,29.351
2021-08-26 03:00:00,25.982,26.4,23.46,23.92,12202094.793,20.8,29.351
2021-08-27 03:00:00,23.92,26.79,23.45,26.53,12760582.382,21.205,29.351
2021-08-28 03:00:00,26.53,26.76,25.4,25.96,6962096.43,21.205,29.351
2021-08-29 03:00:00,25.96,26.46,25.24,25.7,5969161.7,21.267,29.351
2021-08-30 03:00:00,25.71,27.58,24.32,26.03,14865324.488,21.419,29.351
2021-08-31 03:00:00,26.05,31.95,25.61,31.35,40601758.669,22.314,29.351
2021-09-01 03:00:00,31.34,33.838,29.6,33.18,26017654.839,22.314,31.95
2021-09-02 03:00:00,33.17,33.2,31.24,31.79,13487628.41,22.729,33.838
2021-09-03 03:00:00,31.78,34.0,30.51,33.57,14346166.884,23.33,33.838
2021-09-04 03:00:00,33.58,34.13,32.0,32.4,7731353.806,23.33,34.0
2021-09-05 03:00:00,32.41,34.78,31.97,34.42,9486930.418,25.183,34.13
2021-09-06 03:00:00,34.43,35.1,32.3,34.35,12428084.43,25.183,34.78
2021-09-07 03:00:00,34.35,35.68,22.66,27.97,40408249.411,25.183,35.1
2021-09-08 03:00:00,27.97,28.88,25.2,27.76,23830480.97,26.4,35.68
2021-09-09 03:00:00,27.76,31.88,27.0,29.82,21170365.5,26.4,35.68
2021-09-10 03:00:00,29.82,32.65,28.0,29.19,27860740.96,26.4,35.68
2021-09-11 03:00:00,29.18,32.1,28.25,31.57,15331069.56,26.4,35.68
2021-09-12 03:00:00,31.57,36.45,30.66,35.79,28871476.13,26.4,35.68
2021-09-13 03:00:00,35.81,38.07,31.5,34.84,49715992.152,26.4,36.45
2021-09-14 03:00:00,34.84,38.77,34.08,37.36,23675929.094,26.4,38.07
2021-09-15 03:00:00,37.35,38.01,35.55,36.47,12212842.72,26.4,38.77
2021-09-16 03:00:00,36.46,36.97,34.0,35.5,13726309.35,26.46,38.77
2021-09-17 03:00:00,35.51,36.94,32.19,33.03,14073919.0,26.46,38.77
2021-09-18 03:00:00,33.04,35.9,32.51,34.87,9990438.88,26.46,38.77
2021-09-19 03:00:00,34.86,34.9,33.01,33.85,7884331.02,27.58,38.77
2021-09-20 03:00:00,33.86,33.91,26.55,28.31,28383483.49,28.88,38.77
2021-09-21 03:00:00,28.31,30.38,25.5,26.39,24316299.56,28.88,38.77
2021-09-22 03:00:00,26.39,32.0,25.91,31.6,18161430.28,28.88,38.77
2021-09-23 03:00:00,31.58,33.6,30.37,33.41,13516616.87,28.88,38.77
2021-09-24 03:00:00,33.42,33.54,27.9,30.79,28521525.89,28.88,38.77
2021-09-25 03:00:00,30.79,32.22,29.41,29.82,13368526.84,28.88,38.77
